Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4651890521307388790372667481,0.465189052130739,0.45936770136817,0.465189052130739,0.45936770136817,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,590543.1
0.02,0,0.4869522118213297005479276775,0.48695221182133,0.481130861058761,0.48695221182133,0.481130861058761,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,1181086
0.03,0,0.4823348454728194517785350226,0.482334845472819,0.476513494710251,0.482334845472819,0.476513494710251,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,1771629
0.04,0,0.4746752220097210207209021050,0.474675222009721,0.468853871247152,0.474675222009721,0.468853871247152,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,2362172
0.05,0,0.4671678921349195412970571713,0.46716789213492,0.461346541372351,0.46716789213492,0.461346541372351,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,2952716
0.06,0,0.4603671343043056541604562603,0.460367134304306,0.454545783541737,0.460367134304306,0.454545783541737,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,3543258
0.07,0,0.4543073079244910594446832754,0.454307307924491,0.448485957161922,0.454307307924491,0.448485957161922,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,4133802
0.08,0,0.4489105993963836997280990450,0.448910599396384,0.443089248633815,0.448910599396384,0.443089248633815,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,4724344
0.09,0,0.4440836937545713518492335767,0.444083693754571,0.438262342992003,0.444083693754571,0.438262342992003,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,5314888
0.10,0,0.4397420548350008637455981399,0.439742054835001,0.433920704072432,0.439742054835001,0.433920704072432,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,5905431
0.11,0,0.4358144355357248489131683251,0.435814435535725,0.429993084773156,0.435814435535725,0.429993084773156,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,6495974
0.12,0,0.4322421071010782767607445334,0.432242107101078,0.42642075633851,0.432242107101078,0.42642075633851,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,7086517
0.13,0,0.4273518407363173691194035447,0.427351840736317,0.421530489973749,0.427351840736317,0.421530489973749,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,7677060
0.14,0,0.4291699025244896141933713197,0.42916990252449,0.423348551761921,0.42916990252449,0.423348551761921,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,8267603
0.15,0,0.4305541843232374195705176996,0.430554184323237,0.424732833560669,0.430554184323237,0.424732833560669,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,8858147
0.16,0,0.4316041365042621673562792208,0.431604136504262,0.425782785741694,0.431604136504262,0.425782785741694,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,9448689
0.17,0,0.4323937156697685956979843669,0.432393715669769,0.4265723649072,0.432393715669769,0.4265723649072,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,10039230
0.18,0,0.4329788416561030881641980109,0.432978841656103,0.427157490893534,0.432978841656103,0.427157490893534,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,10629780
0.19,0,0.4334023655987952271565270319,0.433402365598795,0.427581014836227,0.433402365598795,0.427581014836227,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,11220320
0.20,0,0.4336975816869213014517568014,0.433697581686921,0.427876230924353,0.433697581686921,0.427876230924353,0,0,0,0,6.95490328376522,66.939159169826175945936148651,66.939159169826175945936148651,11810860
